exercise,difficulty_level,target_muscle_group,primary_equipment,posture,single_or_double_arm,continuous_or_alternating_arms,grip,continuous_or_alternating_legs,foot_elevation,combination_exercises,movement_pattern,body_region,force_type,mechanics,laterality,primary_exercise_classification
Ring Eccentric Pull Up,Novice,Back,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Pull,Upper Body,Pull,Compound,Bilateral,Calisthenics
Barbell Climb,Expert,Abdominals,Barbell,Standing,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Unilateral,Calisthenics
Bodyweight Ipsilateral Bird Dog,Advanced,Abdominals,Bodyweight,Quadruped,Single Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Anti-Rotational,Midsection,Other,Compound,Ipsilateral,Unsorted*
Bodyweight Copenhagen Plank Knee to Elbow,Advanced,Adductors,Bodyweight,Side Plank,Single Arm,Continuous,Forearm,Continuous,Foot Elevated (Side),Single Exercise,Hip Adduction,Lower Body,Other,Compound,Unilateral,Unsorted*
Ring Eccentric Chin Up,Novice,Biceps,Gymnastic Rings,Hanging,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Vertical Pull,Upper Body,Pull,Compound,Bilateral,Calisthenics
Single Arm Dumbbell Seated Shoulder External Rotation,Novice,Shoulders,Dumbbell,Seated,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Pull,Isolation,Unilateral,Unsorted*
Double Dumbbell Seated Cuban Rotation,Novice,Shoulders,Dumbbell,Seated,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Pull,Isolation,Bilateral,Unsorted*
Double Dumbbell Standing Cuban Rotation,Novice,Shoulders,Dumbbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Pull,Isolation,Bilateral,Unsorted*
Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,Novice,Shoulders,Cable,Half Kneeling,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Pull,Isolation,Unilateral,Unsorted*
Miniband Fire Hydrant,Beginner,Glutes,Miniband,Quadruped,No Arms,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Hip External Rotation,Lower Body,Other,Isolation,Unilateral,Bodybuilding
Medicine Ball Russian Twist,Novice,Abdominals,Medicine Ball,Seated Floor,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Bodyweight Side Plank,Novice,Abdominals,Bodyweight,Side Plank,Single Arm,Continuous,Forearm,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,Midsection,Other,Compound,Unilateral,Calisthenics
Cable Reverse Crunch,Intermediate,Abdominals,Cable,Supine,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
Cable Rope Half Kneeling High to Low Chop,Intermediate,Abdominals,Cable,Half Kneeling,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Cable Rope Half Kneeling Low to High Chop,Intermediate,Abdominals,Cable,Half Kneeling,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,Advanced,Quadriceps,Sliders,Standing,Double Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Other,Compound,Unilateral,Bodybuilding
Cable Rope Staggered Stance High to Low Chop ,Intermediate,Abdominals,Cable,Staggered Stance,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Cable Rope Staggered Stance Low to High Chop,Intermediate,Abdominals,Cable,Staggered Stance,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Single Arm Dumbbell Windmill,Intermediate,Abdominals,Dumbbell,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Unilateral,Unsorted*
Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,Intermediate,Quadriceps,Sliders,Standing,Double Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Double Kettlebell Front Rack Lateral Lunge,Novice,Quadriceps,Sliders,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Other,Compound,Unilateral,Bodybuilding
Bodyweight Feet On Wall Mountain Climber ,Advanced,Abdominals,Bodyweight,Prone,Double Arm,Continuous,Flat Palm,Alternating,Feet Elevated,Single Exercise,Anti-Extension,Midsection,Other,Compound,Unilateral,Calisthenics
Slider Double Kettlebell Suitcase Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Hollow Body Hold,Novice,Abdominals,Bodyweight,Supine,Double Arm,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Isometric Hold,Midsection,Other,Compound,Bilateral,Unsorted*
Dumbbell Crush Grip Hollow Body Hold,Intermediate,Abdominals,Dumbbell,Supine,Double Arm,Continuous,Crush Grip,Continuous,No Elevation,Single Exercise,Isometric Hold,Midsection,Other,Compound,Bilateral,Unsorted*
Bar Inverted Hanging Crunch,Expert,Abdominals,Pull Up Bar,Inverted ,No Arms,Continuous,Head Supported,Continuous,No Elevation,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
Bodyweight Inverted Hanging Oblique Crunch,Expert,Abdominals,Bodyweight,Inverted ,No Arms,Continuous,Head Supported,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Slider Double Kettlebell Front Rack Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Supine Alternating Single Leg Raise,Beginner,Abdominals,Bodyweight,Supine,No Arms,Continuous,No Grip,Alternating,No Elevation,Single Exercise,Hip Flexion,Midsection,Other,Compound,Unilateral,Unsorted*
Bodyweight Supine Leg Raise,Novice,Abdominals,Bodyweight,Supine,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
Miniband Bicycle Crunch,Novice,Abdominals,Miniband,Supine,No Arms,Alternating,Head Supported,Alternating,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Unilateral,Unsorted*
Bodyweight Side Plank Reach Through,Novice,Abdominals,Bodyweight,Side Plank,Single Arm,Continuous,Forearm,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,Midsection,Other,Compound,Unilateral,Calisthenics
Bodyweight Sit Up,Novice,Abdominals,Bodyweight,Supine,No Arms,Continuous,Head Supported,Continuous,No Elevation,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
Bodyweight Butterfly Sit Up,Novice,Abdominals,Bodyweight,Supine,No Arms,Continuous,Head Supported,Continuous,No Elevation,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
Slider Mountain Climber,Novice,Abdominals,Sliders,Prone,Double Arm,Continuous,Flat Palm,Alternating,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Unilateral,Unsorted*
Slider Pike ,Advanced,Abdominals,Sliders,Prone,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
Stability Ball Pike,Advanced,Abdominals,Stability Ball,Prone,Double Arm,Continuous,Flat Palm,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
Slider Wide Mountain Climber,Intermediate,Abdominals,Sliders,Prone,Double Arm,Continuous,Flat Palm,Alternating,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Unilateral,Unsorted*
Stability Ball Crunch,Beginner,Abdominals,Stability Ball,Supine,No Arms,Continuous,Head Supported,Continuous,No Elevation,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
Stability Ball Feet Elevated Oblique Crunch,Beginner,Abdominals,Stability Ball,Supine,No Arms,Continuous,Head Supported,Continuous,Feet Elevated,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Stability Ball Kneeling Rollout,Beginner,Abdominals,Stability Ball,Prone,Double Arm,Continuous,Forearm,Continuous,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Bilateral,Unsorted*
Stability Ball Single Leg Knee Tuck,Advanced,Abdominals,Stability Ball,Prone,Double Arm,Continuous,Flat Palm,Continuous,Foot Elevated,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Unilateral,Unsorted*
Stability Ball Single Leg Pike,Expert,Abdominals,Stability Ball,Prone,Double Arm,Continuous,Flat Palm,Continuous,Foot Elevated,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Unilateral,Unsorted*
Double Dumbbell Z Press,Novice,Shoulders,Dumbbell,Seated Floor,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Slider Double Kettlebell Overhead Reverse Lunge,Intermediate,Quadriceps,Sliders,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Romanian Deadlift,Beginner,Hamstrings,Dumbbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Hip Hinge,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Side Plank,Intermediate,Abdominals,Dumbbell,Side Plank,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,Midsection,Other,Compound,Unilateral,Unsorted*
Bodyweight Single Leg Glute Bridge,Novice,Glutes,Bodyweight,Single Leg Bridge,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
Dumbbell Glute Bridge,Beginner,Glutes,Dumbbell,Bridge,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Beginner,Glutes,Bodyweight,Single Leg Bridge,No Arms,Continuous,No Grip,Alternating,No Elevation,Single Exercise,Isometric Hold,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
Miniband Side Lying Clamshell,Beginner,Glutes,Miniband,Side Lying,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip External Rotation,Lower Body,Other,Isolation,Unilateral,Bodybuilding
Miniband Ankle Side Lying Hip Abduction,Beginner,Abductors,Miniband,Side Lying,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Abduction,Lower Body,Other,Isolation,Unilateral,Bodybuilding
Miniband Bench Seated Hip Abduction,Beginner,Abductors,Miniband,Seated,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Abduction,Lower Body,Other,Isolation,Bilateral,Bodybuilding
Miniband Glute Bridge with Hip Abduction,Beginner,Glutes,Miniband,Bridge,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Other,Compound,Bilateral,Bodybuilding
Stability Ball Hip Thrust,Beginner,Glutes,Stability Ball,Bridge,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Stability Ball Dumbbell Hip Thrust,Beginner,Glutes,Stability Ball,Bridge,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Bodyweight Frog Pump,Beginner,Glutes,Bodyweight,Bridge,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Bilateral,Unsorted*
Dumbbell Frog Pump,Beginner,Glutes,Dumbbell,Bridge,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Bilateral,Unsorted*
Cable Glute Kickback,Novice,Glutes,Cable,Standing,No Arms,Continuous,Hand Assisted,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Isolation,Unilateral,Bodybuilding
Bodyweight Single Leg Foot Elevated Glute Bridge,Novice,Glutes,Bodyweight,Single Leg Bridge,No Arms,Continuous,No Grip,Continuous,Foot Elevated,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
Suspension Feet Elevated Glute Bridge,Novice,Glutes,Suspension Trainer,Bridge,No Arms,Continuous,No Grip,Continuous,Feet Elevated,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Miniband Thigh Lateral Walk,Beginner,Abductors,Miniband,Walking,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Abduction,Lower Body,Other,Compound,Unilateral,Bodybuilding
Miniband Ankle Lateral Walk,Novice,Abductors,Miniband,Walking,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Abduction,Lower Body,Other,Compound,Unilateral,Bodybuilding
Miniband Feet Lateral Walk,Intermediate,Abductors,Miniband,Walking,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Abduction,Lower Body,Other,Compound,Unilateral,Bodybuilding
Miniband Standing Glute Kickback,Novice,Glutes,Miniband,Standing,No Arms,Continuous,Hand Assisted,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Isolation,Unilateral,Bodybuilding
Barbell Hip Thrust,Novice,Glutes,Barbell,Bridge,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Barbell Single Leg Hip Thrust,Intermediate,Glutes,Barbell,Single Leg Bridge,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
Stability Ball Single Leg Foot Elevated Glute Bridge,Intermediate,Glutes,Stability Ball,Single Leg Bridge,No Arms,Continuous,No Grip,Continuous,Foot Elevated,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
Miniband Standing Hip Abduction,Novice,Abductors,Miniband,Standing,No Arms,Continuous,Hand Assisted,Continuous,No Elevation,Single Exercise,Hip Abduction,Lower Body,Other,Isolation,Bilateral,Bodybuilding
Miniband 3 Way Cha Cha,Beginner,Abductors,Miniband,Standing,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Abduction,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Single Arm Kettlebell Suitcase Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Cable Hip Abduction,Novice,Abductors,Cable,Standing,No Arms,Continuous,Hand Assisted,Continuous,No Elevation,Single Exercise,Hip Abduction,Lower Body,Other,Isolation,Unilateral,Unsorted*
Miniband Wall Sit Hip Abduction,Novice,Quadriceps,Miniband,Wall Sit,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Abduction,Lower Body,Other,Compound,Bilateral,Unsorted*
Slider Barbell Overhead Lateral Lunge,Advanced,Quadriceps,Sliders,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Other,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Half Kneeling Contralateral Overhead Press,Novice,Shoulders,Dumbbell,Half Kneeling,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Contralateral,Bodybuilding
Barbell Shrug,Novice,Trapezius,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Scapular Elevation,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Cable Face Pull,Novice,Shoulders,Cable,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Pull,Compound,Bilateral,Unsorted*
Cable Seated Face Pull,Novice,Shoulders,Cable,Seated Floor,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Pull,Compound,Bilateral,Unsorted*
Cable Guillotine Curl,Novice,Biceps,Cable,Supine,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Cable Supine Bicep Curl,Novice,Biceps,Cable,Supine,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Cable Straight Bar High Bicep Curl,Novice,Biceps,Cable,Standing,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Double Dumbbell Spider Curl,Novice,Biceps,Dumbbell,Prone,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
EZ Bar Spider Curl,Novice,Biceps,EZ Bar,Prone,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Stability Ball Cable Preacher Curl,Novice,Biceps,Stability Ball,Prone,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Dumbbell Standing Concentration Curl,Novice,Biceps,Dumbbell,Standing,Single Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
EZ Bar Wide Grip Bicep Curl,Novice,Biceps,EZ Bar,Standing,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Cable Standing High Bicep Curl,Novice,Biceps,Cable,Standing,Single Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
EZ Bar Seated Overhead Tricep Extension,Novice,Triceps,EZ Bar,Seated,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Isolation,Bilateral,Bodybuilding
EZ Bar Standing Overhead Tricep Extension,Novice,Triceps,EZ Bar,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Barbell Thruster,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Knee Dominant,Full Body,Push,Compound,Bilateral,Bodybuilding
Bodyweight Diamond Push Up,Novice,Triceps,Bodyweight,Prone,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Calisthenics
EZ Bar Lying Tricep Extension ,Novice,Triceps,EZ Bar,Supine,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Compound,Bilateral,Bodybuilding
